Name,Ticker,Buy & Hold Return [%],Return [%],# Trades,Win Rate [%],Profit Factor,Sharpe Ratio,Start,End,Strategy
無敵,8201-TW,-79.49547218628719,-15.606632000000028,15,26.666666666666668,1.2916491639349437,-0.0368806305996147,2007-10-29,2025-09-30,"B[1,7,59]S[1,7]"
正峰,1538-TW,-2.602230483271373,-30.288601999999997,17,29.411764705882355,1.0681697729788011,-0.0588431816527372,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
耀億,4430-TW,-73.36578581363004,-2.654035000000021,11,27.27272727272727,0.996557126974349,-0.0211648839140223,2011-06-09,2025-09-30,"B[1,7,59]S[1,7]"
銘旺實,4432-TW,-52.71966527196653,-71.63481999999999,13,7.6923076923076925,0.0657260413110008,-0.5473373078718375,2012-11-26,2025-09-30,"B[1,7,59]S[1,7]"
大億金茂,8107-TW,-41.66666666666666,57.53173999999997,12,50.0,2.55401127966904,0.1137728192565667,2005-11-15,2025-09-30,"B[1,7,59]S[1,7]"
泰谷,3339-TW,-48.06201550387597,797.1743189999997,12,25.0,6.114953900173571,0.1886066501331415,2006-06-27,2025-09-30,"B[1,7,59]S[1,7]"
台生材,6649-TW,41.40786749482402,130.684285,5,60.0,2.880114240492384,0.4400226068448719,2019-06-05,2025-09-30,"B[1,7,59]S[1,7]"
宏洲,1413-TW,32.29813664596273,27.14395499999996,12,41.66666666666667,1.976155092099732,0.0576529727934104,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
富晶通,3623-TW,-66.3970588235294,125.57002500000006,8,37.5,3.904222828498622,0.2181715093644417,2010-04-28,2025-09-30,"B[1,7,59]S[1,7]"
迎輝,3523-TW,-86.78571428571429,-8.206004999999958,14,35.714285714285715,1.2273146181366188,-0.0209276398571068,2007-11-16,2025-09-30,"B[1,7,59]S[1,7]"
霹靂,8450-TW,-88.58552631578948,-57.085120000000025,10,20.0,0.1982360639272679,-0.5415551212316329,2014-10-07,2025-09-30,"B[1,7,59]S[1,7]"
